syd,did,wei,symptom,diagnose
37,513,1,groin pain,kidney stone:nephrolithiasis
49,513,0,incontinence (leaking urine),kidney stone:nephrolithiasis
54,513,1,kidney pain (flank pain),kidney stone:nephrolithiasis
72,513,1,painful urination,kidney stone:nephrolithiasis
85,513,1,scrotal pain,kidney stone:nephrolithiasis
113,513,0,vomiting,kidney stone:nephrolithiasis
147,513,2,blood in urine (hematuria),kidney stone:nephrolithiasis
275,513,0,low back ache or pain,kidney stone:nephrolithiasis
264,513,0,stomach and abdominal pain,kidney stone:nephrolithiasis
277,513,0,unusual color or odor of urine,kidney stone:nephrolithiasis
1,546,2,upper abdominal pain,pancreatitis:pancreas inflammation
4,546,1,alcohol abuse,pancreatitis:pancreas inflammation
7,546,1,back ache or pain,pancreatitis:pancreas inflammation
113,546,2,vomiting,pancreatitis:pancreas inflammation
205,546,1,low blood pressure,pancreatitis:pancreas inflammation
262,546,1,chest pain,pancreatitis:pancreas inflammation
275,546,1,low back ache or pain,pancreatitis:pancreas inflammation
264,546,1,stomach and abdominal pain,pancreatitis:pancreas inflammation
1,722,1,upper abdominal pain,splenic infarction:death of spleen
262,722,1,chest pain,splenic infarction:death of spleen
1,139,1,upper abdominal pain,celiac disease:celiac sprue
2,139,1,lower abdominal pain,celiac disease:celiac sprue
20,139,2,diarrhea,celiac disease:celiac sprue
66,139,0,nausea,celiac disease:celiac sprue
173,139,1,abdominal swelling (stomach swelling),celiac disease:celiac sprue
181,139,2,flatulence (passing gas),celiac disease:celiac sprue
232,139,2,steatorrhea (excess fat in stool),celiac disease:celiac sprue
264,139,1,stomach and abdominal pain,celiac disease:celiac sprue
1,988,2,upper abdominal pain,lactose intolerance
2,988,1,lower abdominal pain,lactose intolerance
20,988,2,diarrhea,lactose intolerance
66,988,2,nausea,lactose intolerance
173,988,2,abdominal swelling (stomach swelling),lactose intolerance
232,988,2,steatorrhea (excess fat in stool),lactose intolerance
264,988,2,stomach and abdominal pain,lactose intolerance
1,1115,2,upper abdominal pain,ventral hernia:bulging of the abdominal wall
2,1115,2,lower abdominal pain,ventral hernia:bulging of the abdominal wall
264,1115,0,stomach and abdominal pain,ventral hernia:bulging of the abdominal wall
1,56,1,upper abdominal pain,appendicitis
2,56,3,lower abdominal pain,appendicitis
7,56,1,back ache or pain,appendicitis
14,56,1,chills,appendicitis
16,56,1,constipation,appendicitis
32,56,1,flank pain,appendicitis
37,56,1,groin pain,appendicitis
54,56,1,kidney pain (flank pain),appendicitis
113,56,1,vomiting,appendicitis
128,56,2,inconsolable baby,appendicitis
264,56,2,stomach and abdominal pain,appendicitis
1,115,,upper abdominal pain,bronchitis:bronchial tube infection
7,115,,back ache or pain,bronchitis:bronchial tube infection
13,115,,chest pressure,bronchitis:bronchial tube infection
17,115,2,cough,bronchitis:bronchial tube infection
29,115,,fever,bronchitis:bronchial tube infection
47,115,2,hoarse voice,bronchitis:bronchial tube infection
88,115,2,shortness of breath,bronchitis:bronchial tube infection
93,115,,sore throat,bronchitis:bronchial tube infection
120,115,,throat pain,bronchitis:bronchial tube infection
129,115,2,wheezing (noisy breathing),bronchitis:bronchial tube infection
178,115,2,hemoptysis (coughing blood),bronchitis:bronchial tube infection
262,115,2,chest pain,bronchitis:bronchial tube infection
264,115,,stomach and abdominal pain,bronchitis:bronchial tube infection
273,115,2,congestion in chest or lungs,bronchitis:bronchial tube infection
269,115,2,hurts to breathe,bronchitis:bronchial tube infection
1,140,0,upper abdominal pain,cellulitis:skin infection
6,140,2,arm ache or pain,cellulitis:skin infection
7,140,0,back ache or pain,cellulitis:skin infection
11,140,1,pain or soreness of breast,cellulitis:skin infection
12,140,2,calf pain,cellulitis:skin infection
14,140,2,chills,cellulitis:skin infection
23,140,0,ear pressure,cellulitis:skin infection
24,140,0,pain in the ear,cellulitis:skin infection
25,140,2,elbow ache or pain,cellulitis:skin infection
29,140,2,fever,cellulitis:skin infection
35,140,2,foot pain,cellulitis:skin infection
37,140,0,groin pain,cellulitis:skin infection
39,140,2,"hand, finger ache or pain",cellulitis:skin infection
42,140,0,heel pain,cellulitis:skin infection
45,140,1,hip pain,cellulitis:skin infection
52,140,0,skin itching,cellulitis:skin infection
55,140,2,knee pain,cellulitis:skin infection
57,140,2,leg ache or pain,cellulitis:skin infection
58,140,2,swelling of both legs,cellulitis:skin infection
67,140,0,neck ache or pain,cellulitis:skin infection
68,140,2,neck swelling,cellulitis:skin infection
81,140,2,rash,cellulitis:skin infection
100,140,0,toe pain,cellulitis:skin infection
118,140,2,wrist pain,cellulitis:skin infection
152,140,2,painful rash,cellulitis:skin infection
191,140,2,skin pain,cellulitis:skin infection
192,140,2,hot skin,cellulitis:skin infection
193,140,2,skin swelling,cellulitis:skin infection
194,140,2,lip swelling,cellulitis:skin infection
196,140,2,foot swelling,cellulitis:skin infection
213,140,2,arm swelling,cellulitis:skin infection
214,140,2,calf swelling,cellulitis:skin infection
216,140,2,ear swelling,cellulitis:skin infection
217,140,2,wrist swelling,cellulitis:skin infection
226,140,2,hand redness,cellulitis:skin infection
227,140,2,foot redness,cellulitis:skin infection
228,140,2,arm redness,cellulitis:skin infection
229,140,2,leg redness,cellulitis:skin infection
233,140,2,upper leg pain,cellulitis:skin infection
234,140,2,armpit pain,cellulitis:skin infection
238,140,0,skin sores,cellulitis:skin infection
251,140,2,shin pain,cellulitis:skin infection
262,140,0,chest pain,cellulitis:skin infection
275,140,0,low back ache or pain,cellulitis:skin infection
263,140,2,skin infection,cellulitis:skin infection
264,140,0,stomach and abdominal pain,cellulitis:skin infection
287,140,0,lump or mass of breast,cellulitis:skin infection
274,140,0,discharge from ear,cellulitis:skin infection
261,140,1,elbow swelling,cellulitis:skin infection
281,140,2,penis inflammation or swelling,cellulitis:skin infection
271,140,0,pulling at ears,cellulitis:skin infection
272,140,2,skin bumps,cellulitis:skin infection
1,179,1,upper abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
2,179,2,lower abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
7,179,1,back ache or pain,colonic diverticulitis:inflammation of pouches in the large intestine
10,179,2,bloody diarrhea,colonic diverticulitis:inflammation of pouches in the large intestine
16,179,2,constipation,colonic diverticulitis:inflammation of pouches in the large intestine
20,179,1,diarrhea,colonic diverticulitis:inflammation of pouches in the large intestine
32,179,2,flank pain,colonic diverticulitis:inflammation of pouches in the large intestine
37,179,1,groin pain,colonic diverticulitis:inflammation of pouches in the large intestine
54,179,1,kidney pain (flank pain),colonic diverticulitis:inflammation of pouches in the large intestine
218,179,1,maroon stools,colonic diverticulitis:inflammation of pouches in the large intestine
264,179,1,stomach and abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
1,195,0,upper abdominal pain,costochondritis:chest wall inflammation
7,195,0,back ache or pain,costochondritis:chest wall inflammation
11,195,0,pain or soreness of breast,costochondritis:chest wall inflammation
13,195,2,chest pressure,costochondritis:chest wall inflammation
239,195,1,chest burning,costochondritis:chest wall inflammation
269,195,2,hurts to breathe,costochondritis:chest wall inflammation
1,221,1,upper abdominal pain,dissecting aortic aneurysm:tearing and dilation of the aorta
13,221,2,chest pressure,dissecting aortic aneurysm:tearing and dilation of the aorta
239,221,1,chest burning,dissecting aortic aneurysm:tearing and dilation of the aorta
262,221,1,chest pain,dissecting aortic aneurysm:tearing and dilation of the aorta
1,241,0,upper abdominal pain,endometriosis:uterine tissue outside the uterus
2,241,1,lower abdominal pain,endometriosis:uterine tissue outside the uterus
74,241,1,pelvic pain,endometriosis:uterine tissue outside the uterus
113,241,0,vomiting,endometriosis:uterine tissue outside the uterus
211,241,1,infertility (female),endometriosis:uterine tissue outside the uterus
275,241,0,low back ache or pain,endometriosis:uterine tissue outside the uterus
264,241,0,stomach and abdominal pain,endometriosis:uterine tissue outside the uterus
1,262,0,upper abdominal pain,esophageal stricture:narrowing of the esophagus
98,262,1,swallowing problem (dysphagia),esophageal stricture:narrowing of the esophagus
239,262,0,chest burning,esophageal stricture:narrowing of the esophagus
1,265,,upper abdominal pain,esophagitis:esophageal inflammation
9,265,,blood in vomit,esophagitis:esophageal inflammation
13,265,1,chest pressure,esophagitis:esophageal inflammation
17,265,,cough,esophagitis:esophageal inflammation
66,265,,nausea,esophagitis:esophageal inflammation
67,265,,neck ache or pain,esophagitis:esophageal inflammation
93,265,,sore throat,esophagitis:esophageal inflammation
98,265,1,swallowing problem (dysphagia),esophagitis:esophageal inflammation
113,265,,vomiting,esophagitis:esophageal inflammation
120,265,,throat pain,esophagitis:esophageal inflammation
156,265,2,vomiting coffee ground material,esophagitis:esophageal inflammation
239,265,2,chest burning,esophagitis:esophageal inflammation
262,265,1,chest pain,esophagitis:esophageal inflammation
1,349,0,upper abdominal pain,hernia
2,349,0,lower abdominal pain,hernia
45,349,1,hip pain,hernia
1,388,0,upper abdominal pain,inguinal hernia:groin hernia
2,388,2,lower abdominal pain,inguinal hernia:groin hernia
37,388,2,groin pain,inguinal hernia:groin hernia
85,388,2,scrotal pain,inguinal hernia:groin hernia
86,388,2,scrotal swelling,inguinal hernia:groin hernia
173,388,2,abdominal swelling (stomach swelling),inguinal hernia:groin hernia
264,388,1,stomach and abdominal pain,inguinal hernia:groin hernia
1,426,0,upper abdominal pain,ligament sprain:connection between two bones
2,426,0,lower abdominal pain,ligament sprain:connection between two bones
6,426,0,arm ache or pain,ligament sprain:connection between two bones
7,426,0,back ache or pain,ligament sprain:connection between two bones
11,426,0,pain or soreness of breast,ligament sprain:connection between two bones
13,426,0,chest pressure,ligament sprain:connection between two bones
25,426,0,elbow ache or pain,ligament sprain:connection between two bones
37,426,1,groin pain,ligament sprain:connection between two bones
39,426,0,"hand, finger ache or pain",ligament sprain:connection between two bones
53,426,2,joint pain,ligament sprain:connection between two bones
57,426,0,leg ache or pain,ligament sprain:connection between two bones
67,426,0,neck ache or pain,ligament sprain:connection between two bones
262,426,2,chest pain,ligament sprain:connection between two bones
275,426,1,low back ache or pain,ligament sprain:connection between two bones
303,426,2,arm stiffness or tightness,ligament sprain:connection between two bones
261,426,1,elbow swelling,ligament sprain:connection between two bones
290,426,2,neck stiffness or tightness,ligament sprain:connection between two bones
301,426,2,shoulder stiffness or tightness,ligament sprain:connection between two bones
1,539,0,upper abdominal pain,ovarian cyst:female organ fluid collection
2,539,1,lower abdominal pain,ovarian cyst:female organ fluid collection
7,539,0,back ache or pain,ovarian cyst:female organ fluid collection
11,539,0,pain or soreness of breast,ovarian cyst:female organ fluid collection
37,539,0,groin pain,ovarian cyst:female organ fluid collection
74,539,2,pelvic pain,ovarian cyst:female organ fluid collection
105,539,0,vaginal bleeding,ovarian cyst:female organ fluid collection
275,539,0,low back ache or pain,ovarian cyst:female organ fluid collection
264,539,0,stomach and abdominal pain,ovarian cyst:female organ fluid collection
1,547,1,upper abdominal pain,"pancreas inflammation:pancreatitis, chronic"
2,547,1,lower abdominal pain,"pancreas inflammation:pancreatitis, chronic"
7,547,1,back ache or pain,"pancreas inflammation:pancreatitis, chronic"
20,547,1,diarrhea,"pancreas inflammation:pancreatitis, chronic"
232,547,2,steatorrhea (excess fat in stool),"pancreas inflammation:pancreatitis, chronic"
306,547,1,high blood sugar,"pancreas inflammation:pancreatitis, chronic"
1,585,1,upper abdominal pain,pneumonia:lung infection
7,585,1,back ache or pain,pneumonia:lung infection
11,585,1,pain or soreness of breast,pneumonia:lung infection
13,585,3,chest pressure,pneumonia:lung infection
14,585,3,chills,pneumonia:lung infection
17,585,3,cough,pneumonia:lung infection
21,585,1,dizziness,pneumonia:lung infection
29,585,3,fever,pneumonia:lung infection
32,585,1,flank pain,pneumonia:lung infection
54,585,1,kidney pain (flank pain),pneumonia:lung infection
88,585,3,shortness of breath,pneumonia:lung infection
170,585,3,cyanosis (blue skin coloration),pneumonia:lung infection
178,585,3,hemoptysis (coughing blood),pneumonia:lung infection
239,585,3,chest burning,pneumonia:lung infection
262,585,3,chest pain,pneumonia:lung infection
275,585,1,low back ache or pain,pneumonia:lung infection
270,585,3,difficulty breathing,pneumonia:lung infection
273,585,3,congestion in chest or lungs,pneumonia:lung infection
269,585,3,hurts to breathe,pneumonia:lung infection
1,589,0,upper abdominal pain,polycystic kidney disease:inherited kidney disorder
32,589,0,flank pain,polycystic kidney disease:inherited kidney disorder
37,589,0,groin pain,polycystic kidney disease:inherited kidney disorder
54,589,0,kidney pain (flank pain),polycystic kidney disease:inherited kidney disorder
304,589,0,high blood pressure,polycystic kidney disease:inherited kidney disorder
1,637,1,upper abdominal pain,pyelonephritis:kidney infection
2,637,1,lower abdominal pain,pyelonephritis:kidney infection
7,637,3,back ache or pain,pyelonephritis:kidney infection
14,637,1,chills,pyelonephritis:kidney infection
29,637,1,fever,pyelonephritis:kidney infection
32,637,3,flank pain,pyelonephritis:kidney infection
33,637,3,frequent urination (frequency),pyelonephritis:kidney infection
37,637,1,groin pain,pyelonephritis:kidney infection
49,637,1,incontinence (leaking urine),pyelonephritis:kidney infection
54,637,3,kidney pain (flank pain),pyelonephritis:kidney infection
72,637,3,painful urination,pyelonephritis:kidney infection
113,637,1,vomiting,pyelonephritis:kidney infection
147,637,3,blood in urine (hematuria),pyelonephritis:kidney infection
275,637,2,low back ache or pain,pyelonephritis:kidney infection
264,637,1,stomach and abdominal pain,pyelonephritis:kidney infection
1,698,0,upper abdominal pain,shingles:herpes zoster
7,698,0,back ache or pain,shingles:herpes zoster
11,698,0,pain or soreness of breast,shingles:herpes zoster
13,698,1,chest pressure,shingles:herpes zoster
27,698,1,facial pain,shingles:herpes zoster
32,698,0,flank pain,shingles:herpes zoster
37,698,0,groin pain,shingles:herpes zoster
39,698,0,"hand, finger ache or pain",shingles:herpes zoster
52,698,1,skin itching,shingles:herpes zoster
54,698,0,kidney pain (flank pain),shingles:herpes zoster
67,698,0,neck ache or pain,shingles:herpes zoster
81,698,0,rash,shingles:herpes zoster
152,698,1,painful rash,shingles:herpes zoster
187,698,0,jaw pain,shingles:herpes zoster
191,698,1,skin pain,shingles:herpes zoster
208,698,0,foot itching,shingles:herpes zoster
225,698,0,arm itching,shingles:herpes zoster
226,698,0,hand redness,shingles:herpes zoster
227,698,0,foot redness,shingles:herpes zoster
228,698,1,arm redness,shingles:herpes zoster
229,698,1,leg redness,shingles:herpes zoster
230,698,0,hand itching,shingles:herpes zoster
231,698,0,leg itching,shingles:herpes zoster
234,698,1,armpit pain,shingles:herpes zoster
238,698,1,skin sores,shingles:herpes zoster
239,698,1,chest burning,shingles:herpes zoster
244,698,1,face numbness (paresthesias),shingles:herpes zoster
262,698,1,chest pain,shingles:herpes zoster
1,789,1,upper abdominal pain,unstable angina:pre heart attack chest pain
6,789,1,arm ache or pain,unstable angina:pre heart attack chest pain
7,789,1,back ache or pain,unstable angina:pre heart attack chest pain
13,789,2,chest pressure,unstable angina:pre heart attack chest pain
66,789,1,nausea,unstable angina:pre heart attack chest pain
88,789,1,shortness of breath,unstable angina:pre heart attack chest pain
239,789,2,chest burning,unstable angina:pre heart attack chest pain
1,793,0,upper abdominal pain,"bladder infection:cystitis, uti, urinary tract infection"
2,793,2,lower abdominal pain,"bladder infection:cystitis, uti, urinary tract infection"
7,793,2,back ache or pain,"bladder infection:cystitis, uti, urinary tract infection"
11,793,0,pain or soreness of breast,"bladder infection:cystitis, uti, urinary tract infection"
14,793,2,chills,"bladder infection:cystitis, uti, urinary tract infection"
29,793,2,fever,"bladder infection:cystitis, uti, urinary tract infection"
32,793,2,flank pain,"bladder infection:cystitis, uti, urinary tract infection"
33,793,2,frequent urination (frequency),"bladder infection:cystitis, uti, urinary tract infection"
36,793,1,"cranky, crying, fussy, irritable child","bladder infection:cystitis, uti, urinary tract infection"
37,793,0,groin pain,"bladder infection:cystitis, uti, urinary tract infection"
49,793,2,incontinence (leaking urine),"bladder infection:cystitis, uti, urinary tract infection"
54,793,1,kidney pain (flank pain),"bladder infection:cystitis, uti, urinary tract infection"
66,793,0,nausea,"bladder infection:cystitis, uti, urinary tract infection"
72,793,2,painful urination,"bladder infection:cystitis, uti, urinary tract infection"
108,793,0,vaginal discharge,"bladder infection:cystitis, uti, urinary tract infection"
113,793,0,vomiting,"bladder infection:cystitis, uti, urinary tract infection"
128,793,2,inconsolable baby,"bladder infection:cystitis, uti, urinary tract infection"
147,793,2,blood in urine (hematuria),"bladder infection:cystitis, uti, urinary tract infection"
250,793,2,increased urination (polyuria),"bladder infection:cystitis, uti, urinary tract infection"
275,793,1,low back ache or pain,"bladder infection:cystitis, uti, urinary tract infection"
264,793,0,stomach and abdominal pain,"bladder infection:cystitis, uti, urinary tract infection"
277,793,2,unusual color or odor of urine,"bladder infection:cystitis, uti, urinary tract infection"
1,939,0,upper abdominal pain,umbilical hernia:belly button hernia
2,939,0,lower abdominal pain,umbilical hernia:belly button hernia
173,939,1,abdominal swelling (stomach swelling),umbilical hernia:belly button hernia
264,939,0,stomach and abdominal pain,umbilical hernia:belly button hernia
1,975,0,upper abdominal pain,stomach cancer:gastric cancer
9,975,0,blood in vomit,stomach cancer:gastric cancer
123,975,0,"weight loss, unexplained",stomach cancer:gastric cancer
156,975,0,vomiting coffee ground material,stomach cancer:gastric cancer
264,975,0,stomach and abdominal pain,stomach cancer:gastric cancer
1,991,0,upper abdominal pain,diverticulosis:weakening of the large intestine wall
2,991,1,lower abdominal pain,diverticulosis:weakening of the large intestine wall
218,991,1,maroon stools,diverticulosis:weakening of the large intestine wall
264,991,0,stomach and abdominal pain,diverticulosis:weakening of the large intestine wall
1,1046,0,upper abdominal pain,gastroparesis:stomach muscle malfunction
173,1046,0,abdominal swelling (stomach swelling),gastroparesis:stomach muscle malfunction
264,1046,0,stomach and abdominal pain,gastroparesis:stomach muscle malfunction
1,1267,0,upper abdominal pain,gallbladder cancer
66,1267,0,nausea,gallbladder cancer
113,1267,0,vomiting,gallbladder cancer
116,1267,0,tired,gallbladder cancer
123,1267,0,"weight loss, unexplained",gallbladder cancer
123,1267,0,"weight loss, unexplained",gallbladder cancer
179,1267,0,jaundice (yellowing skin),gallbladder cancer
2,236,1,lower abdominal pain,ectopic pregnancy:tubal pregnancy
74,236,1,pelvic pain,ectopic pregnancy:tubal pregnancy
78,236,2,pregnancy problem,ectopic pregnancy:tubal pregnancy
89,236,1,shoulder ache or pain,ectopic pregnancy:tubal pregnancy
105,236,2,vaginal bleeding,ectopic pregnancy:tubal pregnancy
107,236,2,vaginal bleeding during pregnancy,ectopic pregnancy:tubal pregnancy
264,236,1,stomach and abdominal pain,ectopic pregnancy:tubal pregnancy
2,540,1,lower abdominal pain,ovarian torsion:twisting of the ovary
74,540,2,pelvic pain,ovarian torsion:twisting of the ovary
2,557,1,lower abdominal pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
7,557,0,back ache or pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
14,557,1,chills,"pelvic inflammatory disease:pid, female reproductive organ infection"
29,557,1,fever,"pelvic inflammatory disease:pid, female reproductive organ infection"
37,557,0,groin pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
74,557,2,pelvic pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
105,557,0,vaginal bleeding,"pelvic inflammatory disease:pid, female reproductive organ infection"
108,557,2,vaginal discharge,"pelvic inflammatory disease:pid, female reproductive organ infection"
211,557,2,infertility (female),"pelvic inflammatory disease:pid, female reproductive organ infection"
275,557,0,low back ache or pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
264,557,0,stomach and abdominal pain,"pelvic inflammatory disease:pid, female reproductive organ infection"
2,600,1,lower abdominal pain,premenstrual syndrome:pms
7,600,,back ache or pain,premenstrual syndrome:pms
15,600,,change in behavior,premenstrual syndrome:pms
21,600,,dizziness,premenstrual syndrome:pms
41,600,,headache,premenstrual syndrome:pms
70,600,,obesity,premenstrual syndrome:pms
282,600,1,excessive appetite,premenstrual syndrome:pms
2,795,1,lower abdominal pain,urine retention:inability to urinate
37,795,0,groin pain,urine retention:inability to urinate
173,795,2,abdominal swelling (stomach swelling),urine retention:inability to urinate
275,795,0,low back ache or pain,urine retention:inability to urinate
2,197,1,lower abdominal pain,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
7,197,1,back ache or pain,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
10,197,2,bloody diarrhea,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
18,197,3,dark stools,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
20,197,2,diarrhea,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
32,197,1,flank pain,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
54,197,1,kidney pain (flank pain),"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
82,197,2,rectal pain,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
113,197,1,vomiting,"crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
123,197,2,"weight loss, unexplained","crohn's disease:regional enteritis, crohn's colitis, intestinal inflammation"
